experiment_id,session_id,scenario,model,epochs,batch_size,lr_stage1,lr_stage2,patience,seed,val_dataset,ham_accuracy,ham_weighted_f1,ham_macro_f1,ham_mel_recall,ham_mel_auc_roc,ham_macro_auc_roc,ham_harmonized_5class_acc,ham_bcc_recall,accuracy,pad_accuracy,weighted_avg_f1,macro_avg_f1,mel_recall,mel_auc_roc,pad_mel_auc_roc,macro_auc_roc,pad_macro_auc_roc,harmonized_5class_acc,bcc_recall,domain_gap,stage1_ham_acc,stage1_pad_acc,duration_min,completed_at,status
low_v3_ep15_bs32_lr2_0.0001_pat3_seed42,04_09_2026,low,v3,15,32,0.001,0.0001,3,42,dual (HAM10000 + PAD-UFES-20),0.7764,0.779,0.6061,0.4725,0.8378,0.9383,0.7835,0.68,0.2585,0.2585,0.2392,0.0,0.0,0.7406,0.7406,0.0,0.7029,0.2585,0.0,0.518,0.0,0.0,5.63,2026-09-05 03:51:13,SUCCESS
low_v1_ep15_bs32_lr2_0.0001_pat3_seed42,04_09_2026,low,v1,15,32,0.001,0.0001,3,42,dual (HAM10000 + PAD-UFES-20),0.7684,0.7657,0.5825,0.4128,0.8703,0.9392,0.7767,0.66,0.215,0.215,0.2022,0.0,0.0,0.7358,0.7358,0.0,0.6618,0.215,0.0,0.5535,0.0,0.0,3.3,2026-09-05 03:39:40,SUCCESS
low_v2_ep15_bs32_lr2_0.0001_pat3_seed42,04_09_2026,low,v2,15,32,0.001,0.0001,3,42,dual (HAM10000 + PAD-UFES-20),0.7489,0.7601,0.6163,0.5229,0.8354,0.9399,0.754,0.75,0.2668,0.2668,0.2627,0.0,0.0,0.712,0.712,0.0,0.691,0.2668,0.0,0.4821,0.0,0.0,5.49,2026-09-05 03:45:22,SUCCESS
low_v4_ep15_bs32_lr2_5e-05_pat3_seed42,04_09_2026,low,v4,15,32,0.001,5e-05,3,42,dual (HAM10000 + PAD-UFES-20),0.7263,0.7382,0.5413,0.5183,0.8325,0.9188,0.7339,0.6,0.1893,0.1893,0.1715,0.0,0.0,0.6633,0.6633,0.0,0.6805,0.1893,0.0,0.537,0.0,0.0,4.0,2026-09-05 03:55:22,SUCCESS
low_v5_ep15_bs32_lr2_2e-05_pat3_seed42,04_09_2026,low,v5,15,32,0.0005,2e-05,3,42,dual (HAM10000 + PAD-UFES-20),0.5143,0.5749,0.5221,0.9908,0.8919,0.9422,0.5121,0.41,0.1719,0.1719,0.1627,0.0,0.0,0.8203,0.8203,0.0,0.7136,0.1719,0.0,0.3424,0.0,0.0,60.52,2026-09-05 04:58:24,SUCCESS
