experiment_id,session_id,scenario,model,epochs,batch_size,lr_stage1,lr_stage2,patience,seed,val_dataset,ham_accuracy,ham_weighted_f1,ham_macro_f1,ham_mel_recall,ham_mel_auc_roc,ham_macro_auc_roc,ham_harmonized_5class_acc,ham_bcc_recall,accuracy,pad_accuracy,weighted_avg_f1,macro_avg_f1,mel_recall,mel_auc_roc,pad_mel_auc_roc,macro_auc_roc,pad_macro_auc_roc,harmonized_5class_acc,restricted_5class_acc,bcc_recall,domain_gap,stage1_ham_acc,duration_min,completed_at,status
medium_v5_ep40_bs32_lr2_3e-05_pat6_seed42,05_09_2026,medium,v5,40,32,0.0005,3e-05,6,42,dual (HAM10000 + PAD-UFES-20),0.8276,0.8254,0.687,0.578,0.9112,0.9613,0.8346,0.73,0.2598,0.2598,0.2416,0.1642,0.2885,0.8116,0.8116,0.7304,0.7304,0.2598,0.2628,0.2888,0.5678,0.5585,101.58,2026-09-05 15:23:38,SUCCESS
medium_v2_ep30_bs32_lr2_0.0001_pat5_seed42,05_09_2026,medium,v2,30,32,0.001,0.0001,5,42,dual (HAM10000 + PAD-UFES-20),0.8065,0.8069,0.6775,0.4725,0.8522,0.9458,0.8114,0.76,0.2454,0.2454,0.2364,0.1464,0.0577,0.6985,0.6985,0.6876,0.6876,0.2454,0.2524,0.2663,0.5611,0.6071,9.36,2026-09-05 13:10:55,SUCCESS
medium_v3_ep30_bs32_lr2_0.0001_pat5_seed42,05_09_2026,medium,v3,30,32,0.001,0.0001,5,42,dual (HAM10000 + PAD-UFES-20),0.798,0.8013,0.6637,0.5917,0.8841,0.9481,0.8036,0.71,0.2489,0.2489,0.2336,0.1497,0.3269,0.7081,0.7081,0.703,0.703,0.2489,0.2541,0.3231,0.5491,0.5169,10.37,2026-09-05 13:21:50,SUCCESS
medium_v1_ep30_bs32_lr2_0.0001_pat5_seed42,05_09_2026,medium,v1,30,32,0.001,0.0001,5,42,dual (HAM10000 + PAD-UFES-20),0.7945,0.7943,0.6583,0.5275,0.8849,0.9469,0.7959,0.67,0.2185,0.2185,0.2165,0.1363,0.1538,0.7147,0.7147,0.6732,0.6732,0.2185,0.2419,0.2521,0.576,0.5774,5.15,2026-09-05 13:01:03,SUCCESS
medium_v4_ep30_bs32_lr2_2e-05_pat6_seed42,05_09_2026,medium,v4,30,32,0.001,2e-05,6,42,dual (HAM10000 + PAD-UFES-20),0.792,0.7932,0.6449,0.4817,0.8528,0.9438,0.7974,0.69,0.2563,0.2563,0.2573,0.1525,0.1346,0.7831,0.7831,0.6965,0.6965,0.2563,0.2728,0.3183,0.5357,0.5456,13.75,2026-09-05 13:36:18,SUCCESS
