scenario,model,seed,ham_accuracy,pad_restricted_5class_acc,pad_macro_auc_roc,ham_bacc,pad_bacc,tau_star,tau_source,ham_bacc_tau,pad_bacc_tau,ham_mal_sens_gated,pad_mal_sens_gated,checkpoint_sha256,selected_epoch,selected_loop_acc,final_ham_val_acc,eval_acc_delta,eval_warning,ham_mel_auc_roc,ham_mel_auc_ci_low,ham_mel_auc_ci_high,mel_auc_roc,pad_mel_auc_ci_low,pad_mel_auc_ci_high,mel_auc_gap,meets_auc_target_ham,meets_auc_target_pad,triage_th,ham_triage_sens,pad_triage_sens,ham_mel_recall,mel_recall,bcc_th,ham_bcc_triage_sens,pad_bcc_triage_sens,ham_bcc_recall,bcc_recall,pad_mal_screen_sens,ham_weighted_f1,weighted_avg_f1,params_m,temperature,ham_ece,pad_ece,loss,run,duplicate_of
main,v2,43,0.796,0.2306,0.6648,0.6322,0.3042,0.8,ham_val_balanced_accuracy,0.6944,0.2984,0.8789,0.6465,60b9b5748635114eabb72fa1afdb2461aa92c24492d12095cf175d0f6a0d51d0,29,0.8214,0.8214,0.0,False,0.8786,0.8532,0.9036,0.7084,0.6387,0.7755,0.1702,True,False,0.12,0.8349,0.4231,0.5,0.0962,0.07,0.88,0.4462,0.63,0.1811,0.6465,0.7958,0.21,2.2,0.6627453985742005,0.0142,0.4106,focal,main/v2/seed43,main/v1/seed43
main,v5,43,0.8045,0.3473,0.7115,0.6167,0.3505,0.8,ham_val_balanced_accuracy,0.7233,0.3978,0.8447,0.7422,3230447cffaf9a2dde36c1012312d5111856adc56a1021e933c5426ba10a76c8,10,0.8284,0.8274,-0.001,False,0.8999,0.8741,0.9244,0.7018,0.6126,0.7818,0.198,True,False,0.13,0.8394,0.4038,0.4954,0.0769,0.08,0.92,0.8615,0.56,0.5964,0.7422,0.7935,0.2794,294.1,0.6992790608955306,0.0305,0.3681,focal,main/v5/seed43,
main,v3,44,0.7784,0.2472,0.6635,0.6175,0.32,0.6,ham_val_balanced_accuracy,0.6588,0.2914,0.8658,0.8191,59b061ff50525a0118f5832b5127e8c252cfaa9d429159654e3a52fda1f4dea0,13,0.8036,0.8046,0.001,False,0.8467,0.8115,0.8775,0.6841,0.5883,0.759,0.1626,False,False,0.15,0.789,0.7115,0.4541,0.4808,0.13,0.82,0.3669,0.58,0.1846,0.8191,0.7835,0.2559,4.2,0.6429567164187282,0.0292,0.3911,focal,main/v3/seed44,
main,v3,42,0.799,0.2528,0.6946,0.6683,0.3419,0.8,ham_val_balanced_accuracy,0.7333,0.3704,0.8526,0.7367,529fedd37ba25f76339534f53ea13a21227cddcccc5d2e02f4e3e16921a4e975,19,0.8175,0.8165,-0.001,False,0.8865,0.8615,0.9095,0.6821,0.5999,0.7662,0.2043,True,False,0.13,0.7798,0.6538,0.5917,0.3269,0.14,0.88,0.529,0.71,0.3219,0.7367,0.8022,0.2322,4.2,0.6838459198739091,0.0226,0.3916,focal,main/v3/seed42,
main,v1,42,0.7945,0.2446,0.6598,0.6657,0.2844,0.6,ham_val_balanced_accuracy,0.7323,0.2854,0.8474,0.5261,2c35ebc8960dbc28e9d79703ac93e8135c92640d8db633dd006ac5c2c17206c7,8,0.8294,0.8274,-0.002,False,0.8863,0.8577,0.9119,0.6782,0.6059,0.7469,0.2081,True,False,0.19,0.8349,0.2885,0.5275,0.1538,0.09,0.87,0.542,0.69,0.2592,0.5261,0.7946,0.2199,3.2,0.559814049302942,0.0236,0.3922,focal,main/v1/seed42,
main,v1,42,0.807,0.252,0.6764,0.6815,0.3074,0.9,ham_val_balanced_accuracy,0.7379,0.314,0.8342,0.5783,26156679262f73d091fa6e6557a07bac69a4b07125bc4c362e0bcfdf9921c171,19,0.8194,0.8194,0.0,False,0.8568,0.8221,0.8877,0.6684,0.588,0.7386,0.1883,False,False,0.06,0.8761,0.6154,0.4725,0.0577,0.21,0.82,0.3811,0.76,0.2639,0.5783,0.8074,0.2356,2.2,0.6564957375144207,0.0141,0.3903,focal,main/v1/seed42,
main,v2,42,0.807,0.252,0.6764,0.6815,0.3074,0.9,ham_val_balanced_accuracy,0.7379,0.314,0.8342,0.5783,26156679262f73d091fa6e6557a07bac69a4b07125bc4c362e0bcfdf9921c171,19,0.8194,0.8194,0.0,False,0.8568,0.8221,0.8877,0.6684,0.588,0.7386,0.1883,False,False,0.06,0.8761,0.6154,0.4725,0.0577,0.21,0.82,0.3811,0.76,0.2639,0.5783,0.8074,0.2356,2.2,0.6564957375144207,0.0141,0.3903,focal,main/v2/seed42,main/v1/seed42
main,v3,43,0.7769,0.2789,0.6666,0.66,0.3327,0.7,ham_val_balanced_accuracy,0.7217,0.2927,0.9053,0.8092,5f6b38ecce8fee6487747fe3c0479677fca190eeca322868e804fb965e08e5f9,10,0.8085,0.8085,0.0,False,0.8708,0.8427,0.8973,0.6331,0.5533,0.715,0.2377,False,False,0.15,0.867,0.6346,0.6193,0.3462,0.37,0.86,0.3728,0.85,0.374,0.8092,0.7863,0.2709,4.2,0.6820037555972829,0.0242,0.3319,focal,main/v3/seed43,
main,v1,43,0.7905,0.1932,0.6289,0.6273,0.2803,0.8,ham_val_balanced_accuracy,0.7191,0.3121,0.8211,0.3837,6356be1422a70e66a57004234ff8f4f1a66b43ba687677206294e04ecfb68e4c,11,0.8115,0.8105,-0.001,False,0.889,0.8612,0.9139,0.5934,0.5087,0.6757,0.2956,True,False,0.23,0.8165,0.2692,0.6101,0.0962,0.06,0.94,0.4047,0.7,0.1349,0.3837,0.7871,0.1622,3.2,0.5867703707611923,0.0314,0.4269,focal,main/v1/seed43,
ablation_no_focal,v3,42,0.807,0.2594,0.6914,0.6367,0.3059,0.6,ham_val_balanced_accuracy,0.7211,0.3376,0.8211,0.6531,52a441a5fe4f5a24864778c6d0d15e02aaa944ad32087f8f20f1555bc2b1a81b,13,0.8323,0.8323,0.0,False,0.8711,0.8424,0.8971,0.7145,0.6419,0.7887,0.1566,False,False,0.1,0.7844,0.5385,0.4587,0.1538,0.13,0.86,0.5136,0.63,0.2947,0.6531,0.7995,0.2372,4.2,1.1198313742190396,0.0291,0.3835,ce,ablation_no_focal/v3/seed42,
ablation_no_mixup,v3,42,0.7514,0.2876,0.6845,0.6519,0.323,0.8,ham_val_balanced_accuracy,0.6773,0.2972,0.8211,0.6449,5aea56a93ff30c5cdda897e2f219a007230409c79ee21318a1fc062090e455d7,8,0.7847,0.7847,0.0,False,0.8494,0.819,0.8764,0.6971,0.6265,0.7676,0.1524,False,False,0.16,0.8073,0.6154,0.5138,0.2692,0.23,0.86,0.4923,0.72,0.3964,0.6449,0.7645,0.2699,4.2,0.9088058927355259,0.0309,0.3383,focal,ablation_no_mixup/v3/seed42,
ablation_no_sampler,v3,42,0.6977,0.2581,0.6521,0.672,0.2774,0.0,ham_val_balanced_accuracy,0.672,0.2774,0.8789,0.5717,961882f503476876baba2faaa2de9a6da50bce37fde896f0856390df8015dd8a,13,0.7292,0.7302,0.001,False,0.8156,0.779,0.8485,0.6317,0.5428,0.7145,0.1839,False,False,0.13,0.8486,0.4231,0.5688,0.1154,0.16,0.84,0.3964,0.61,0.2142,0.5717,0.725,0.2243,4.2,0.70434182849792,0.0281,0.3633,focal,ablation_no_sampler/v3/seed42,
standard,backups,44,0.7313,0.2598,0.6994,0.6156,0.3334,0.4,ham_val_balanced_accuracy,0.696,0.3509,0.85,0.5811,4966c1d3cb78457eed4b50c5a1ff3480eeb54d8f1e89a465e01150361a868396,20,0.7827,0.7798,-0.003,False,0.8582,0.831,0.8872,0.7411,0.6667,0.8075,0.1171,False,False,0.19,0.7844,0.5,0.4128,0.1538,0.25,0.86,0.3775,0.75,0.3172,0.5811,0.7407,0.2416,8.4,1.1122121620965588,0.1843,0.1766,focal,standard/backups/seed44,main/v4/seed44
