experiment_id,session_id,scenario,model,epochs,batch_size,lr_stage1,lr_stage2,patience,seed,val_dataset,ham_accuracy,ham_weighted_f1,ham_macro_f1,ham_mel_recall,ham_mel_auc_roc,ham_macro_auc_roc,ham_harmonized_5class_acc,ham_bcc_recall,accuracy,pad_accuracy,weighted_avg_f1,macro_avg_f1,mel_recall,mel_auc_roc,pad_mel_auc_roc,macro_auc_roc,pad_macro_auc_roc,harmonized_5class_acc,restricted_5class_acc,bcc_recall,domain_gap,stage1_ham_acc,duration_min,completed_at,status
low_v2_ep15_bs32_lr2_0.0001_pat3_seed42,05_09_2026,low,v2,15,32,0.001,0.0001,3,42,dual (HAM10000 + PAD-UFES-20),0.806,0.805,0.6617,0.4954,0.8615,0.9477,0.8109,0.71,0.2189,0.2189,0.1958,0.1262,0.0385,0.7331,0.7331,0.6811,0.6811,0.2189,0.2263,0.2485,0.5871,0.6071,6.7,2026-09-05 15:34:16,SUCCESS
low_v5_ep15_bs32_lr2_2e-05_pat3_seed42,05_09_2026,low,v5,15,32,0.0005,2e-05,3,42,dual (HAM10000 + PAD-UFES-20),0.8045,0.8079,0.6701,0.5872,0.8814,0.951,0.8098,0.8,0.292,0.292,0.2908,0.1857,0.3462,0.7848,0.7848,0.7289,0.7289,0.292,0.3042,0.2982,0.5125,0.5585,62.46,2026-09-05 16:52:20,SUCCESS
low_v4_ep15_bs32_lr2_5e-05_pat3_seed42,05_09_2026,low,v4,15,32,0.001,5e-05,3,42,dual (HAM10000 + PAD-UFES-20),0.7779,0.7832,0.6117,0.5826,0.8667,0.9452,0.784,0.64,0.1971,0.1971,0.1738,0.1226,0.2308,0.7008,0.7008,0.6695,0.6695,0.1971,0.2137,0.2166,0.5808,0.5456,5.72,2026-09-05 15:46:26,SUCCESS
low_v3_ep15_bs32_lr2_0.0001_pat3_seed42,05_09_2026,low,v3,15,32,0.001,0.0001,3,42,dual (HAM10000 + PAD-UFES-20),0.7719,0.7771,0.608,0.4908,0.8383,0.9374,0.7773,0.64,0.2654,0.2654,0.2506,0.1551,0.25,0.7254,0.7254,0.6975,0.6975,0.2654,0.2842,0.4,0.5065,0.5169,5.95,2026-09-05 15:40:27,SUCCESS
low_v1_ep15_bs32_lr2_0.0001_pat3_seed42,05_09_2026,low,v1,15,32,0.001,0.0001,3,42,dual (HAM10000 + PAD-UFES-20),0.7579,0.7593,0.5815,0.4128,0.8628,0.9378,0.7654,0.64,0.2228,0.2228,0.2116,0.1394,0.0769,0.7506,0.7506,0.6671,0.6671,0.2228,0.2293,0.1822,0.5351,0.5774,3.49,2026-09-05 15:27:18,SUCCESS
